Name,start_x_cordinate,start_y_cordinate,end_x_cordinate,end_y_cordinate
00000001_000.png,79,144,919,806
00000001_001.png,136,236,923,907
00000001_002.png,191,214,887,878
00000002_000.png,107,70,909,800
00000003_000.png,74,107,901,756
00000003_001.png,213,122,920,912
00000003_002.png,204,143,1024,692
00000003_003.png,121,80,936,717
00000003_004.png,137,132,811,782
00000003_005.png,115,128,908,766
00000003_006.png,188,143,903,791
00000003_007.png,70,123,880,768
00000004_000.png,144,143,971,989
00000005_000.png,88,160,1024,836
00000005_001.png,125,159,843,926
00000005_002.png,113,214,891,994
00000005_003.png,135,181,880,786
00000005_004.png,142,133,881,821
00000005_005.png,95,96,971,774
00000005_006.png,143,139,888,826
00000005_007.png,68,163,950,898
00000006_000.png,115,62,921,878
00000007_000.png,175,110,965,796
00000008_000.png,142,112,903,756
00000008_001.png,137,68,903,708
00000008_002.png,154,152,901,799
00000009_000.png,85,141,886,786
00000010_000.png,174,125,840,760
00000011_000.png,134,142,969,838
00000011_001.png,182,164,949,865
00000011_002.png,130,144,950,789
00000011_003.png,179,200,947,845
00000011_004.png,197,67,936,762
00000011_005.png,144,179,880,804
00000011_006.png,101,131,840,647
00000011_007.png,104,130,882,722
00000011_008.png,162,65,914,672
00000012_000.png,51,144,876,709
00000013_000.png,66,201,931,993
00000013_001.png,181,114,973,912
00000013_002.png,189,200,960,1010
00000013_003.png,328,251,1022,1019
00000013_004.png,148,181,899,997
00000013_005.png,151,178,954,1024
00000013_006.png,167,96,966,810
00000013_007.png,198,51,938,866
00000013_008.png,121,186,884,989
00000013_009.png,153,263,915,1024
00000013_010.png,216,185,987,1019
00000013_011.png,163,32,963,847
00000013_012.png,177,151,912,943
00000013_013.png,112,58,873,834
00000013_014.png,121,118,917,862
00000013_015.png,141,97,928,860
00000013_016.png,70,146,981,935
00000013_017.png,117,184,923,999
00000013_018.png,157,161,973,967
00000013_019.png,146,141,932,904
00000013_020.png,162,192,952,974
00000013_021.png,173,125,979,941
00000013_022.png,106,173,940,890
00000013_023.png,108,86,913,928
00000013_024.png,73,47,912,873
00000013_025.png,143,171,953,867
00000013_026.png,173,169,987,1009
00000013_027.png,137,156,941,993
00000013_028.png,209,154,942,925
00000013_029.png,129,116,874,904
00000013_030.png,179,186,935,977
00000013_031.png,174,69,949,914
00000013_032.png,237,158,991,917
00000013_033.png,148,135,916,851
00000013_034.png,87,183,958,886
00000013_035.png,154,209,948,915
00000013_036.png,153,176,957,916
00000013_037.png,156,138,941,855
00000013_038.png,134,152,981,882
00000013_039.png,155,189,914,875
00000013_040.png,97,148,981,908
00000013_041.png,133,159,920,838
00000013_042.png,102,159,963,928
00000013_043.png,152,126,946,840
00000013_044.png,152,191,962,905
00000013_045.png,162,156,951,894
00000013_046.png,115,147,991,853
00000014_000.png,65,209,892,761
00000015_000.png,278,112,1026,691
00000016_000.png,107,147,929,844
00000017_000.png,148,100,953,944
00000017_001.png,99,142,927,932
00000017_002.png,167,169,965,942
00000018_000.png,100,199,923,874
00000019_000.png,140,166,908,912
00000020_000.png,159,122,920,840
00000020_001.png,197,137,904,818
00000020_002.png,104,130,998,859
00000021_000.png,84,104,921,940
00000021_001.png,111,12,930,884
00000022_000.png,51,30,993,889
00000022_001.png,120,34,909,1010
00000023_000.png,86,83,927,691
00000023_001.png,128,113,893,776
00000023_002.png,80,127,907,738
00000023_003.png,64,117,890,710
00000023_004.png,179,143,858,928
00000024_000.png,46,95,999,854
00000025_000.png,60,45,879,643
00000026_000.png,72,112,924,844
00000027_000.png,146,122,937,863
00000028_000.png,63,101,911,716
00000029_000.png,144,203,973,995
00000030_000.png,169,134,968,792
00000030_001.png,165,149,942,859
00000031_000.png,120,199,879,865
00000032_000.png,106,228,789,876
00000032_001.png,128,89,798,650
00000032_002.png,168,152,806,790
00000032_003.png,147,104,774,752
00000032_004.png,178,32,853,686
00000032_005.png,199,153,801,716
00000032_006.png,122,225,767,805
00000032_007.png,252,107,839,625
00000032_008.png,137,211,758,677
00000032_009.png,263,102,899,579
00000032_010.png,207,82,818,658
00000032_011.png,230,19,820,697
00000032_012.png,209,0,778,565
00000032_014.png,232,147,830,619
00000032_015.png,226,111,826,709
00000032_016.png,178,43,860,592
00000032_017.png,169,308,877,815
00000032_018.png,144,80,910,713
00000032_019.png,112,118,789,668
